Question,Condition,GeneratedSQL,ErrorMessage,Result
Show the schedules for morning classes this semester (include class and course),"{""role"": ""Training Manager"", ""identity"": []}","SELECT s.schedule_id, c.class_id, co.course_id, co.course_name
FROM Schedules s
JOIN ClassCourse co ON s.class_course_id = co.class_course_id
JOIN Classes c ON co.class_id = c.class_id
WHERE CAST(s.start_time AS TIME) >= '07:00:00' AND CAST(s.start_time AS TIME) < '12:00:00'
AND co.semester = (SELECT MAX(semester) FROM ClassCourse);","Lỗi MS SQL Server (42S22): [42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'course_name'. (207) (SQLExecDirectW) executing query: SELECT s.schedule_id, c.class_id, co.course_id, co.course_name
FROM Schedules s
JOIN ClassCourse co ON s.class_course_id = co.class_course_id
JOIN Classes c ON co.class_id = c.class_id
WHERE CAST(s.start_time AS TIME) >= '07:00:00' AND CAST(s.start_time AS TIME) < '12:00:00'
AND co.semester = (SELECT MAX(semester) FROM ClassCourse);",[]
What time is the first Machine Learning class ('AIL') on Monday January 6th 2025?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT TOP 1 s.start_time
FROM Schedules s
JOIN ClassCourse cc ON s.class_course_id = cc.class_course_id
JOIN Courses c ON cc.course_id = c.course_id
WHERE c.course_name = 'Machine Learning'
  AND DATENAME(dw, s.start_time) = 'Monday'
  AND CAST(s.start_time AS DATE) = '2025-01-06'
ORDER BY s.start_time;",,"[
  {
    ""start_time"": ""2025-01-06T07:30:00""
  }
]"
How many classes are scheduled for January 6th 2025?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT COUNT(DISTINCT T1.class_id)
FROM Classes AS T1
INNER JOIN ClassCourse AS T2 ON T1.class_id = T2.class_id
INNER JOIN Schedules AS T3 ON T2.class_course_id = T3.class_course_id
WHERE T3.start_time >= '20250106' AND T3.start_time < '20250107';",,"[
  {
    """": 2
  }
]"
Which subjects have a duration longer than 2 hours?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT c.course_name
FROM Courses c
JOIN ClassCourse cc ON c.course_id = cc.course_id
JOIN Schedules s ON cc.class_course_id = s.class_course_id
WHERE DATEDIFF(minute, s.start_time, s.end_time) > 120
GROUP BY c.course_name;",,"[
  {
    ""course_name"": ""Machine Learning""
  },
  {
    ""course_name"": ""Malware Analysis and Reverse Engineering""
  },
  {
    ""course_name"": ""Mathematics for Engineering""
  },
  {
    ""course_name"": ""Natural Language Processing""
  }
]"
Show the timetable for class AI01 during the Fall semester of last year.,"{""role"": ""Training Manager"", ""identity"": []}","SELECT
	s.start_time,
	s.end_time,
	s.room
FROM Schedules s
JOIN ClassCourse cc ON s.class_course_id = cc.class_course_id
JOIN Classes c ON cc.class_id = c.class_id
WHERE
	c.class_id = 'AI01'
	AND cc.semester = 'FA24';",,"[
  {
    ""start_time"": ""2024-09-09T07:30:00"",
    ""end_time"": ""2024-09-09T09:50:00"",
    ""room"": ""R002""
  },
  {
    ""start_time"": ""2024-09-11T10:00:00"",
    ""end_time"": ""2024-09-11T12:20:00"",
    ""room"": ""R002""
  },
  {
    ""start_time"": ""2024-09-16T07:30:00"",
    ""end_time"": ""2024-09-16T09:50:00"",
    ""room"": ""R002""
  },
  {
    ""start_time"": ""2024-09-18T10:00:00"",
    ""end_time"": ""2024-09-18T12:20:00"",
    ""room"": ""R002""
  },
  {
    ""start_time"": ""2024-09-23T07:30:00"",
    ""end_time"": ""2024-09-23T09:50:00"",
    ""room"": ""R002""
  }
]"
What is the number of classes held in each classroom this semester?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT s.room, COUNT(*) AS NumberOfClasses FROM Schedules s JOIN ClassCourse cc ON s.class_course_id = cc.class_course_id WHERE cc.semester = (SELECT MAX(semester) FROM ClassCourse) GROUP BY s.room;",,"[
  {
    ""room"": ""R001"",
    ""NumberOfClasses"": 5
  },
  {
    ""room"": ""R003"",
    ""NumberOfClasses"": 5
  },
  {
    ""room"": ""R004"",
    ""NumberOfClasses"": 5
  }
]"
Show the morning classes in room R002 last semester.,"{""role"": ""Training Manager"", ""identity"": []}","SELECT DISTINCT c.course_name
FROM Courses c
JOIN Curriculums cu ON c.course_id = cu.course_id
JOIN ClassCourse cc ON c.course_id = cc.course_id
JOIN Schedules s ON cc.class_course_id = s.class_course_id
WHERE s.room = 'R002' AND CAST(s.start_time AS DATE) BETWEEN DATEADD(month, -6, GETDATE()) AND DATEADD(month, -3, GETDATE()) AND CAST(s.start_time AS TIME) >= '00:00:00' AND CAST(s.start_time AS TIME) < '12:00:00';",,[]
"How many classes are held in the morning, afternoon in this semester?","{""role"": ""Training Manager"", ""identity"": []}","SELECT
  SUM(CASE WHEN DATEPART(HOUR, s.start_time) BETWEEN 7 AND 11 THEN 1 ELSE 0 END) AS MorningClasses,
  SUM(CASE WHEN DATEPART(HOUR, s.start_time) BETWEEN 12 AND 17 THEN 1 ELSE 0 END) AS AfternoonClasses
FROM Schedules AS s
JOIN ClassCourse AS cc
  ON s.class_course_id = cc.class_course_id
WHERE
  cc.semester = (
    SELECT
      MAX(semester)
    FROM ClassCourse
  );",,"[
  {
    ""MorningClasses"": 10,
    ""AfternoonClasses"": 5
  }
]"
Which days of the week does the AI01 class have Machine Learning?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT DATENAME(dw, s.start_time) AS DayOfWeek
FROM Schedules AS s
JOIN ClassCourse AS cc ON s.class_course_id = cc.class_course_id
JOIN Courses AS c ON cc.course_id = c.course_id
WHERE cc.class_id = 'AI01' AND c.course_name = 'Machine Learning'
GROUP BY DayOfWeek;","Lỗi MS SQL Server (42S22): [42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'DayOfWeek'. (207) (SQLExecDirectW) executing query: SELECT DATENAME(dw, s.start_time) AS DayOfWeek
FROM Schedules AS s
JOIN ClassCourse AS cc ON s.class_course_id = cc.class_course_id
JOIN Courses AS c ON cc.course_id = c.course_id
WHERE cc.class_id = 'AI01' AND c.course_name = 'Machine Learning'
GROUP BY DayOfWeek;",[]
How many scheduled sessions are there for the IA01 section?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT COUNT(*)
FROM Schedules
JOIN ClassCourse ON Schedules.class_course_id = ClassCourse.class_course_id
WHERE ClassCourse.class_id = 'IA01';",,"[
  {
    """": 10
  }
]"
Show the schedule for all Mathematics for Engineering classes last semester.,"{""role"": ""Training Manager"", ""identity"": []}","SELECT s.*
FROM Schedules s
JOIN ClassCourse cc ON s.class_course_id = cc.class_course_id
JOIN Courses c ON cc.course_id = c.course_id
WHERE c.course_name LIKE '%Mathematics for Engineering%'
  AND cc.semester = (SELECT MAX(semester) FROM ClassCourse);",,[]
Which courses have classes on Mondays in this semester?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT DISTINCT c.course_name
FROM Courses c
JOIN ClassCourse cc ON c.course_id = cc.course_id
JOIN Schedules s ON cc.class_course_id = s.class_course_id
WHERE DATENAME(dw, s.start_time) = 'Monday';",,"[
  {
    ""course_name"": ""Machine Learning""
  },
  {
    ""course_name"": ""Malware Analysis and Reverse Engineering""
  },
  {
    ""course_name"": ""Mathematics for Engineering""
  },
  {
    ""course_name"": ""Natural Language Processing""
  }
]"
How many classes are there for each course this term?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT c.course_name, COUNT(DISTINCT cl.class_id) AS NumberOfClasses
FROM Courses c
JOIN ClassCourse cc ON c.course_id = cc.course_id
JOIN Classes cl ON cc.class_id = cl.class_id
WHERE cc.semester = (SELECT MAX(semester) FROM ClassCourse)
GROUP BY c.course_name;",,"[
  {
    ""course_name"": ""Machine Learning"",
    ""NumberOfClasses"": 1
  },
  {
    ""course_name"": ""Malware Analysis and Reverse Engineering"",
    ""NumberOfClasses"": 1
  },
  {
    ""course_name"": ""Natural Language Processing"",
    ""NumberOfClasses"": 1
  }
]"
Which courses have classes that start after 3:00 PM this semester?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT DISTINCT c.course_name
FROM Courses c
JOIN ClassCourse cc ON c.course_id = cc.course_id
JOIN Schedules s ON cc.class_course_id = s.class_course_id
WHERE CAST(s.start_time AS TIME) > '15:00:00' AND YEAR(s.start_time) = YEAR(GETDATE()) AND MONTH(s.start_time) = MONTH(GETDATE());",,[]
What's the total duration of all 'Malware Analysis and Reverse Engineering' classes?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT SUM(DATEDIFF(minute, s.start_time, s.end_time)) AS TotalDurationInMinutes
FROM Schedules AS s
JOIN ClassCourse AS cc ON s.class_course_id = cc.class_course_id
JOIN Courses AS c ON cc.course_id = c.course_id
WHERE c.course_name = 'Malware Analysis and Reverse Engineering';",,"[
  {
    ""TotalDurationInMinutes"": 700
  }
]"
Which courses have classes in room R004 this semester?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT DISTINCT c.course_name
FROM Courses c
JOIN ClassCourse cc ON c.course_id = cc.course_id
JOIN Schedules s ON cc.class_course_id = s.class_course_id
WHERE s.room = 'R004' AND cc.semester = (SELECT MAX(semester) FROM ClassCourse);",,"[
  {
    ""course_name"": ""Malware Analysis and Reverse Engineering""
  }
]"
Show the schedule for classes taught by Professor Giang this semester.,"{""role"": ""Lecturer"", ""identity"": [""LEC01""]}","SELECT s.schedule_id, s.start_time, s.end_time, s.room, s.slot
FROM Schedules s
JOIN ClassCourse cc ON s.class_course_id = cc.class_course_id
JOIN Lecturers l ON cc.lecturer_id = l.lecturer_id
JOIN Users u ON l.lecturer_id = u.user_id
WHERE u.fullname LIKE '%Giang%'
AND cc.semester = (SELECT MAX(semester) FROM ClassCourse);",,"[
  {
    ""schedule_id"": ""AI01_AIL_1"",
    ""start_time"": ""2025-01-06T07:30:00"",
    ""end_time"": ""2025-01-06T09:50:00"",
    ""room"": ""R001"",
    ""slot"": 1
  },
  {
    ""schedule_id"": ""AI01_AIL_2"",
    ""start_time"": ""2025-01-08T10:00:00"",
    ""end_time"": ""2025-01-08T12:20:00"",
    ""room"": ""R001"",
    ""slot"": 2
  },
  {
    ""schedule_id"": ""AI01_AIL_3"",
    ""start_time"": ""2025-01-13T07:30:00"",
    ""end_time"": ""2025-01-13T09:50:00"",
    ""room"": ""R001"",
    ""slot"": 3
  },
  {
    ""schedule_id"": ""AI01_AIL_4"",
    ""start_time"": ""2025-01-15T10:00:00"",
    ""end_time"": ""2025-01-15T12:20:00"",
    ""room"": ""R001"",
    ""slot"": 4
  },
  {
    ""schedule_id"": ""AI01_AIL_5"",
    ""start_time"": ""2025-01-20T07:30:00"",
    ""end_time"": ""2025-01-20T09:50:00"",
    ""room"": ""R001"",
    ""slot"": 5
  }
]"
Which courses does Professor Hai teach?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT c.course_name
FROM Courses c
JOIN ClassCourse cc ON c.course_id = cc.course_id
JOIN Lecturers l ON cc.lecturer_id = l.lecturer_id
JOIN Users u ON l.lecturer_id = u.user_id
WHERE u.fullname = 'Hai';",,"[
  {
    ""course_name"": ""Mathematics for Engineering""
  }
]"
How many classes does Professor Giang teach this semester?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT COUNT(DISTINCT c.class_id)
FROM Classes AS c
JOIN ClassCourse AS cc ON c.class_id = cc.class_id
JOIN Lecturers AS l ON cc.lecturer_id = l.lecturer_id
JOIN Users AS u ON l.lecturer_id = u.user_id
WHERE u.fullname LIKE '%Giang%'",,"[
  {
    """": 2
  }
]"
Which lecturers have classes in the morning this semester?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT DISTINCT L.lecturer_id
FROM Lecturers L
JOIN ClassCourse CC ON L.lecturer_id = CC.lecturer_id
JOIN Schedules S ON CC.class_course_id = S.class_course_id
WHERE S.start_time BETWEEN '07:00:00' AND '12:00:00';",,[]
Show the complete schedule (including class name course name and lecturer) for the AI01 class.,"{""role"": ""Training Manager"", ""identity"": []}","SELECT c.class_id, cc.course_id, c.course_name, l.fullname AS lecturer_name, s.start_time, s.end_time, s.room, s.slot
FROM Classes AS c
JOIN ClassCourse AS cc ON c.class_id = cc.class_id
JOIN Lecturers AS l ON cc.lecturer_id = l.lecturer_id
JOIN Schedules AS s ON cc.class_course_id = s.class_course_id
WHERE c.class_id = 'AI01'
ORDER BY s.start_time;","Lỗi MS SQL Server (42S22): [42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'course_name'. (207) (SQLExecDirectW); [42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'fullname'. (207) executing query: SELECT c.class_id, cc.course_id, c.course_name, l.fullname AS lecturer_name, s.start_time, s.end_time, s.room, s.slot
FROM Classes AS c
JOIN ClassCourse AS cc ON c.class_id = cc.class_id
JOIN Lecturers AS l ON cc.lecturer_id = l.lecturer_id
JOIN Schedules AS s ON cc.class_course_id = s.class_course_id
WHERE c.class_id = 'AI01'
ORDER BY s.start_time;",[]
Which lecturer teaches the Mathematics for Engineering course for class IA01 on Monday at 7:30 AM?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT L.fullname
FROM Lecturers AS L
JOIN ClassCourse AS CC ON L.lecturer_id = CC.lecturer_id
JOIN Classes AS C ON CC.class_id = C.class_id
JOIN Courses AS CO ON CC.course_id = CO.course_id
JOIN Schedules AS S ON CC.class_course_id = S.class_course_id
WHERE C.class_id = 'IA01' AND CO.course_name = 'Mathematics for Engineering' AND DATENAME(dw, S.start_time) = 'Monday' AND CAST(S.start_time AS TIME) = '07:30:00';","Lỗi MS SQL Server (42S22): [42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'fullname'. (207) (SQLExecDirectW) executing query: SELECT L.fullname
FROM Lecturers AS L
JOIN ClassCourse AS CC ON L.lecturer_id = CC.lecturer_id
JOIN Classes AS C ON CC.class_id = C.class_id
JOIN Courses AS CO ON CC.course_id = CO.course_id
JOIN Schedules AS S ON CC.class_course_id = S.class_course_id
WHERE C.class_id = 'IA01' AND CO.course_name = 'Mathematics for Engineering' AND DATENAME(dw, S.start_time) = 'Monday' AND CAST(S.start_time AS TIME) = '07:30:00';",[]
How many lecturers have classes scheduled on September 9th 2024?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT COUNT(DISTINCT L.lecturer_id)
FROM Lecturers AS L
JOIN ClassCourse AS CC ON L.lecturer_id = CC.lecturer_id
JOIN Schedules AS S ON CC.class_course_id = S.class_course_id
WHERE S.start_time >= '2024-09-09' AND S.start_time < '2024-09-10';",,"[
  {
    """": 2
  }
]"
Show Professor Giang's schedule sorted by start time.,"{""role"": ""Training Manager"", ""identity"": []}","SELECT s.start_time, s.end_time, s.room, c.course_name
FROM Schedules s
JOIN ClassCourse cc ON s.class_course_id = cc.class_course_id
JOIN Courses c ON cc.course_id = c.course_id
JOIN Lecturers l ON cc.lecturer_id = l.lecturer_id
JOIN Users u ON l.lecturer_id = u.user_id
WHERE u.fullname LIKE '%Giang%'
ORDER BY s.start_time;",,"[
  {
    ""start_time"": ""2024-09-09T07:30:00"",
    ""end_time"": ""2024-09-09T09:50:00"",
    ""room"": ""R003"",
    ""course_name"": ""Mathematics for Engineering""
  },
  {
    ""start_time"": ""2024-09-11T10:00:00"",
    ""end_time"": ""2024-09-11T12:20:00"",
    ""room"": ""R003"",
    ""course_name"": ""Mathematics for Engineering""
  },
  {
    ""start_time"": ""2024-09-16T07:30:00"",
    ""end_time"": ""2024-09-16T09:50:00"",
    ""room"": ""R003"",
    ""course_name"": ""Mathematics for Engineering""
  },
  {
    ""start_time"": ""2024-09-18T10:00:00"",
    ""end_time"": ""2024-09-18T12:20:00"",
    ""room"": ""R003"",
    ""course_name"": ""Mathematics for Engineering""
  },
  {
    ""start_time"": ""2024-09-23T07:30:00"",
    ""end_time"": ""2024-09-23T09:50:00"",
    ""room"": ""R003"",
    ""course_name"": ""Mathematics for Engineering""
  },
  {
    ""start_time"": ""2025-01-06T07:30:00"",
    ""end_time"": ""2025-01-06T09:50:00"",
    ""room"": ""R001"",
    ""course_name"": ""Machine Learning""
  },
  {
    ""start_time"": ""2025-01-08T10:00:00"",
    ""end_time"": ""2025-01-08T12:20:00"",
    ""room"": ""R001"",
    ""course_name"": ""Machine Learning""
  },
  {
    ""start_time"": ""2025-01-13T07:30:00"",
    ""end_time"": ""2025-01-13T09:50:00"",
    ""room"": ""R001"",
    ""course_name"": ""Machine Learning""
  },
  {
    ""start_time"": ""2025-01-15T10:00:00"",
    ""end_time"": ""2025-01-15T12:20:00"",
    ""room"": ""R001"",
    ""course_name"": ""Machine Learning""
  },
  {
    ""start_time"": ""2025-01-20T07:30:00"",
    ""end_time"": ""2025-01-20T09:50:00"",
    ""room"": ""R001"",
    ""course_name"": ""Machine Learning""
  }
]"
Show the schedule for course MAE this semester?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT s.schedule_id, s.start_time, s.end_time, s.room, s.slot
FROM Schedules s
JOIN ClassCourse cc ON s.class_course_id = cc.class_course_id
JOIN Courses c ON cc.course_id = c.course_id
WHERE c.course_id = 'MAE' AND cc.semester = (SELECT MAX(semester) FROM ClassCourse);",,[]
Show my schedule for all the classes I am currently enrolled in.,"{""role"": ""Student"", ""identity"": [""HE001""]}","SELECT s.start_time,s.end_time,s.room,c.course_name,cl.class_id
FROM Schedules s
JOIN ClassCourse cc ON s.class_course_id = cc.class_course_id
JOIN Courses c ON cc.course_id = c.course_id
JOIN Classes cl ON cc.class_id = cl.class_id
JOIN Enrollments e ON cc.class_course_id = e.class_course_id
WHERE e.student_id = 'HE001';",,"[
  {
    ""start_time"": ""2025-01-06T07:30:00"",
    ""end_time"": ""2025-01-06T09:50:00"",
    ""room"": ""R001"",
    ""course_name"": ""Machine Learning"",
    ""class_id"": ""AI01""
  },
  {
    ""start_time"": ""2025-01-08T10:00:00"",
    ""end_time"": ""2025-01-08T12:20:00"",
    ""room"": ""R001"",
    ""course_name"": ""Machine Learning"",
    ""class_id"": ""AI01""
  },
  {
    ""start_time"": ""2025-01-13T07:30:00"",
    ""end_time"": ""2025-01-13T09:50:00"",
    ""room"": ""R001"",
    ""course_name"": ""Machine Learning"",
    ""class_id"": ""AI01""
  },
  {
    ""start_time"": ""2025-01-15T10:00:00"",
    ""end_time"": ""2025-01-15T12:20:00"",
    ""room"": ""R001"",
    ""course_name"": ""Machine Learning"",
    ""class_id"": ""AI01""
  },
  {
    ""start_time"": ""2025-01-20T07:30:00"",
    ""end_time"": ""2025-01-20T09:50:00"",
    ""room"": ""R001"",
    ""course_name"": ""Machine Learning"",
    ""class_id"": ""AI01""
  },
  {
    ""start_time"": ""2024-09-09T07:30:00"",
    ""end_time"": ""2024-09-09T09:50:00"",
    ""room"": ""R002"",
    ""course_name"": ""Mathematics for Engineering"",
    ""class_id"": ""AI01""
  },
  {
    ""start_time"": ""2024-09-11T10:00:00"",
    ""end_time"": ""2024-09-11T12:20:00"",
    ""room"": ""R002"",
    ""course_name"": ""Mathematics for Engineering"",
    ""class_id"": ""AI01""
  },
  {
    ""start_time"": ""2024-09-16T07:30:00"",
    ""end_time"": ""2024-09-16T09:50:00"",
    ""room"": ""R002"",
    ""course_name"": ""Mathematics for Engineering"",
    ""class_id"": ""AI01""
  },
  {
    ""start_time"": ""2024-09-18T10:00:00"",
    ""end_time"": ""2024-09-18T12:20:00"",
    ""room"": ""R002"",
    ""course_name"": ""Mathematics for Engineering"",
    ""class_id"": ""AI01""
  },
  {
    ""start_time"": ""2024-09-23T07:30:00"",
    ""end_time"": ""2024-09-23T09:50:00"",
    ""room"": ""R002"",
    ""course_name"": ""Mathematics for Engineering"",
    ""class_id"": ""AI01""
  },
  {
    ""start_time"": ""2025-01-06T10:00:00"",
    ""end_time"": ""2025-01-06T12:20:00"",
    ""room"": ""R003"",
    ""course_name"": ""Natural Language Processing"",
    ""class_id"": ""AI01""
  },
  {
    ""start_time"": ""2025-01-08T07:30:00"",
    ""end_time"": ""2025-01-08T09:50:00"",
    ""room"": ""R003"",
    ""course_name"": ""Natural Language Processing"",
    ""class_id"": ""AI01""
  },
  {
    ""start_time"": ""2025-01-13T10:00:00"",
    ""end_time"": ""2025-01-13T12:20:00"",
    ""room"": ""R003"",
    ""course_name"": ""Natural Language Processing"",
    ""class_id"": ""AI01""
  },
  {
    ""start_time"": ""2025-01-15T07:30:00"",
    ""end_time"": ""2025-01-15T09:50:00"",
    ""room"": ""R003"",
    ""course_name"": ""Natural Language Processing"",
    ""class_id"": ""AI01""
  },
  {
    ""start_time"": ""2025-01-20T10:00:00"",
    ""end_time"": ""2025-01-20T12:20:00"",
    ""room"": ""R003"",
    ""course_name"": ""Natural Language Processing"",
    ""class_id"": ""AI01""
  }
]"
Which classes start after 10:00 AM this semester?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT DISTINCT c.class_id
FROM Classes AS c
JOIN ClassCourse AS cc ON c.class_id = cc.class_id
JOIN Schedules AS s ON cc.class_course_id = s.class_course_id
WHERE CAST(s.start_time AS TIME) > '10:00:00' AND cc.semester = (SELECT MAX(semester) FROM ClassCourse);",,"[
  {
    ""class_id"": ""IA01""
  }
]"
Show my schedule for the next week,"{""role"": ""Student"", ""identity"": [""HE001""]}","SELECT s.start_time, s.end_time, s.room
FROM Schedules s
JOIN ClassCourse cc ON s.class_course_id = cc.class_course_id
JOIN Enrollments e ON cc.class_course_id = e.class_course_id
WHERE e.student_id = 'HE001'
  AND s.start_time >= DATEADD(wk, DATEDIFF(wk, 7, GETDATE()), 0)
  AND s.start_time < DATEADD(wk, DATEDIFF(wk, 0, GETDATE()), 7);",,[]
Show my schedule for the next week,"{""role"": ""Lecturer"", ""identity"": [""LEC01""]}","SELECT s.start_time,s.end_time,s.room,c.course_name
FROM Schedules s
JOIN ClassCourse cc ON s.class_course_id = cc.class_course_id
JOIN Lecturers l ON cc.lecturer_id = l.lecturer_id
JOIN Courses c ON cc.course_id = c.course_id
WHERE l.lecturer_id = 'LEC01'
AND s.start_time >= DATEADD(day,DATEDIFF(day,7,GETDATE()),0)
AND s.start_time < DATEADD(day,DATEDIFF(day,0,GETDATE()),7);",,[]
What courses have no schedules assigned this semester?,"{""role"": ""Training Manager"", ""identity"": []}","SELECT c.course_id, c.course_name
FROM Courses c
LEFT JOIN ClassCourse cc ON c.course_id = cc.course_id
LEFT JOIN Schedules s ON cc.class_course_id = s.class_course_id
WHERE s.schedule_id IS NULL;",,"[
  {
    ""course_id"": ""CEA"",
    ""course_name"": ""Computer Organization and Architecture""
  },
  {
    ""course_id"": ""CPV"",
    ""course_name"": ""Computer Vision""
  },
  {
    ""course_id"": ""CSI"",
    ""course_name"": ""Introduction to Computer Science""
  },
  {
    ""course_id"": ""IAA"",
    ""course_name"": ""Risk Management in Information Systems""
  },
  {
    ""course_id"": ""IAP"",
    ""course_name"": ""Policy Development in Information Assurance""
  },
  {
    ""course_id"": ""ISM"",
    ""course_name"": ""Enterprise Resource Planning (ERP)""
  },
  {
    ""course_id"": ""ISP"",
    ""course_name"": ""Information System Programming Project""
  },
  {
    ""course_id"": ""ITA"",
    ""course_name"": ""Information System Design & Analysis""
  },
  {
    ""course_id"": ""SWD"",
    ""course_name"": ""Software Architecture and Design""
  },
  {
    ""course_id"": ""SWP"",
    ""course_name"": ""Software development project""
  },
  {
    ""course_id"": ""SWR"",
    ""course_name"": ""Software Requirement""
  }
]"
"Show my class schedule for this semester, including the instructors.","{""role"": ""Student"", ""identity"": [""HE001""]}","SELECT s.start_time, s.end_time, s.room, c.course_name, l.fullname AS lecturer_name
FROM Schedules s
JOIN ClassCourse cc ON s.class_course_id = cc.class_course_id
JOIN Courses c ON cc.course_id = c.course_id
JOIN Lecturers l ON cc.lecturer_id = l.lecturer_id
JOIN Enrollments e ON cc.class_course_id = e.class_course_id
WHERE e.student_id = 'HE001' AND cc.semester = (SELECT TOP 1 start_semester FROM Students WHERE student_id = 'HE001');","Lỗi MS SQL Server (42S22): [42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'fullname'. (207) (SQLExecDirectW) executing query: SELECT s.start_time, s.end_time, s.room, c.course_name, l.fullname AS lecturer_name
FROM Schedules s
JOIN ClassCourse cc ON s.class_course_id = cc.class_course_id
JOIN Courses c ON cc.course_id = c.course_id
JOIN Lecturers l ON cc.lecturer_id = l.lecturer_id
JOIN Enrollments e ON cc.class_course_id = e.class_course_id
WHERE e.student_id = 'HE001' AND cc.semester = (SELECT TOP 1 start_semester FROM Students WHERE student_id = 'HE001');",[]
